class_id,common_name,count
224,Urate crystals [Presence] in Urine sediment by Light microscopy,42
225,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,42
226,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay,42
227,Prolactin [Mass/volume] in Serum or Plasma,42
228,Eosinophils/Leukocytes in Body fluid,42
229,Eosinophils/Leukocytes in Pleural fluid,42
230,Nuclear Ab [Units/volume] in Serum by Immunoassay,42
231,Leukocytes [#/volume] in Synovial fluid,42
232,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,42
233,LMW Heparin [Units/volume] in Platelet poor plasma,40
234,Amylase [Enzymatic activity/volume] in Peritoneal fluid,40
235,Erythrocyte [Sedimentation Rate] in Blood by Westergren method,39
236,CD45 (Lymphs) cells/cells in Body fluid,39
237,CD45 (Lymphs) cells/cells in Blood,39
238,Gentamicin [Mass/volume] in Serum or Plasma,36
239,Fragments [Presence] in Blood by Light microscopy,36
240,CD10 cells/cells in Body fluid,36
241,CD10 cells/cells in Blood,36
242,Tobramycin [Mass/volume] in Serum or Plasma,36
243,Albumin [Mass/volume] in Peritoneal fluid,33
244,Protein [Mass/volume] in Cerebral spinal fluid,33
245,Deprecated CD4 cells [#/volume] in Blood,33
246,CD15 cells/cells in Blood,32
247,Lactate dehydrogenase [Enzymatic activity/volume] in Cerebral spinal fluid,32
248,Mitochondria Ab [Presence] in Serum,32
249,Volume of Urine,30
250,von Willebrand factor (vWf) Ag [Units/volume] in Platelet poor plasma by Immunoassay,30
251,Blasts [#/volume] in Blood by Manual count,30
252,Reticulocytes/Erythrocytes in Blood by Manual,30
253,CD13 cells/cells in Blood,30
254,Microscopic observation [Identifier] in Specimen by Wright stain,30
255,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid,30
256,Acanthocytes [Presence] in Blood by Light microscopy,28
257,Protein electrophoresis panel - Cerebral spinal fluid,28
258,Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,28
259,Eosinophils/Leukocytes in Cerebral spinal fluid,28
260,Amylase [Enzymatic activity/volume] in Pleural fluid,28
261,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,28
262,CD19 cells/cells in Body fluid,27
263,CD20 cells/cells in Body fluid,27
264,CD19 cells/cells in Blood,27
265,CD20 cells/cells in Blood,27
266,CD34 cells/cells in Blood,27
267,Deprecated CD8 cells [#/volume] in Blood,27
268,Amylase [Enzymatic activity/volume] in Body fluid,27
269,von Willebrand factor (vWf) actual/normal in Platelet poor plasma by Aggregometry.ristocetin cofactor activity,26
270,CD45 (Lymphs) cells/cells in Bone marrow,26
271,Bilirubin.total [Mass/volume] in Peritoneal fluid,25
272,Macrophages/Leukocytes in Cerebral spinal fluid,24
273,CD5 cells/cells in Blood,24
274,HLA-DR [Presence],24
275,CD10 cells/cells in Bone marrow,24
276,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells,23
277,Mesothelial cells/Leukocytes in Body fluid,22
278,Urinalysis specimen collection method,22
279,CD14 cells/cells in Blood,22
280,Macrophages/Leukocytes in Synovial fluid,22
281,Glucose [Mass/volume] in Pleural fluid,21
282,Erythrocytes [#/volume] in Synovial fluid,21
283,Bicarbonate [Moles/volume] in Urine,20
284,Platelets reticulated/Platelets in Blood,20
285,Creatinine [Mass/volume] in Peritoneal fluid,20
286,Hematocrit [Volume Fraction] of Body fluid by calculation,20
287,CD2 cells/cells in Blood,20
288,CD2 cells/cells in Bone marrow,20
289,Variant lymphocytes/Leukocytes in Body fluid,19
290,Deprecated CD4 cells/CD8 Cells [# Ratio] in Blood,19
291,IgA [Mass/volume] in Serum or Plasma,18
292,IgM [Mass/volume] in Serum or Plasma,18
293,Protein [Mass/volume] in Peritoneal fluid,18
294,Glucose [Mass/volume] in Peritoneal fluid,18
295,CD11c cells/cells in Blood,18
296,CD3 cells [#/volume] in Blood,18
297,CD33 cells/cells in Blood,18
298,CD19 cells/cells in Bone marrow,18
299,Triglyceride [Mass/volume] in Pleural fluid,18
300,Protein [Mass/volume] in Pleural fluid,16
301,Hemoglobin [Presence] in Stool from gastrointestinal,16
302,CD56 cells/cells in Blood,16
303,CD7 cells/cells in Blood,16
304,CD15 cells/cells in Bone marrow,16
305,CD5 cells/cells in Bone marrow,16
306,CD7 cells/cells in Bone marrow,16
307,Nuclear Ab [Presence] in Serum,16
308,C reactive protein [Mass/volume] in Serum or Plasma,15
309,Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,15
310,Amylase/Creatinine [Ratio] in Urine,15
311,Follitropin [Units/volume] in Serum or Plasma,15
312,Lymphocytes/Leukocytes in Blood,15
313,Cancer Ag 125 [Units/volume] in Serum or Plasma,15
314,CD64 cells/cells in Blood,14
315,Hemoglobin S [Presence] in Blood by Solubility test,13
316,HIV 1 Ab [Units/volume] in Serum or Plasma by Immunoassay,13
317,Thrombin time,12
318,Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field,12
319,Coagulation factor XIII coagulum dissolution [Units/volume] in Platelet poor plasma by Coagulation assay,12
320,WBC casts [#/area] in Urine sediment by Microscopy low power field,12
321,Albumin [Mass/volume] in Pleural fluid,12
322,CD117 cells/cells in Blood,12
323,CD41 cells/cells in Blood,12
324,CD71 cells/cells in Blood,12
325,CD3 cells/cells in Bone marrow,12
326,Deprecated CD4 cells/100 cells in Bone marrow,12
327,CD8+HLA-DR+ cells/cells in Bone marrow,12
328,Deprecated CD4 cells/100 cells in Blood,12
329,Bite cells [Presence] in Blood by Light microscopy,12
330,Plasma cells/Leukocytes in Peritoneal fluid by Manual count,12
